row_number,reasons,CALL_NO,CALL_TYPE,Priority,UNIT,LOCATION_ADDRESS,BEAT,Created Date,Time,Closed Date
267742,"'Priority' expected numeric, has text; 'Created Date' expected numeric, has text; 'Time' expected numeric, has text; 'Closed Date' expected numeric, has text; 'Created Date' doesn't look like a date; 'Closed Date' doesn't look like a date",CALL _ NO,CALL_ TYPE,Priority,U NIT,LOCATION _ ADDRESS,B EAT,Created Date,Time Time,C losed Date
267782,'LOCATION_ADDRESS' garbled/scrambled text,172160634 FAMILY DISTR-S,,1,261,"KIETZKE LN/EB I80, SPK",S5,08/04/2017,123516 141454,08/04/2017
267783,'LOCATION_ADDRESS' garbled/scrambled text,172160634 FAMILY DISTR-S,,1,261,"KIETZKE LN/EB I80, SPK",S5,08/04/2017,123516 141454,08/04/2017
267789,nearly empty row; 'CALL_NO' contains a date/time (leak?),3/14/2024,,,,,,,,
267790,"'Priority' expected numeric, has text; 'Created Date' expected numeric, has text; 'Time' expected numeric, has text; 'Closed Date' expected numeric, has text; 'Created Date' doesn't look like a date; 'Closed Date' doesn't look like a date",CALL _ NO,CALL_ TYPE,Priority,U NIT,LOCATION _ ADDRESS,B EAT,Created Date,Time Time,C losed Date
267837,nearly empty row; 'CALL_NO' contains a date/time (leak?),3/14/2024,,,,,,,,
267838,"'Priority' expected numeric, has text; 'Created Date' expected numeric, has text; 'Time' expected numeric, has text; 'Closed Date' expected numeric, has text; 'Created Date' doesn't look like a date; 'Closed Date' doesn't look like a date",CALL _ NO,CALL_ TYPE,Priority,U NIT,LOCATION _ ADDRESS,B EAT,Created Date,Time Time,C losed Date
267885,nearly empty row; 'CALL_NO' contains a date/time (leak?),3/14/2024,,,,,,,,
267886,"'Priority' expected numeric, has text; 'Created Date' expected numeric, has text; 'Time' expected numeric, has text; 'Closed Date' expected numeric, has text; 'Created Date' doesn't look like a date; 'Closed Date' doesn't look like a date",CALL _ NO,CALL_ TYPE,Priority,U NIT,LOCATION _ ADDRESS,B EAT,Created Date,Time Time,C losed Date
267933,nearly empty row; 'CALL_NO' contains a date/time (leak?),3/14/2024,,,,,,,,
267934,"'Priority' expected numeric, has text; 'Created Date' expected numeric, has text; 'Time' expected numeric, has text; 'Closed Date' expected numeric, has text; 'Created Date' doesn't look like a date; 'Closed Date' doesn't look like a date",CALL _ NO,CALL_ TYPE,Priority,U NIT,LOCATION _ ADDRESS,B EAT,Created Date,Time Time,C losed Date
267981,nearly empty row; 'CALL_NO' contains a date/time (leak?),3/14/2024,,,,,,,,
