call_id,actdate,acttime,streetnbr,street,geox,geoy,naturecode
P170161946,10/6/2017 0:00,1722,7793,NE NORTH ST,121921657,26617584,SUSPI4
P170167497,10/16/2017 0:00,2124,4865,CRYSTAL SPRINGS DR NE,121077131,22662711,PC4
P170167502,10/16/2017 0:00,2131,,NE LATYSON LN / POINT WHITE DR NE,121448580,22304014,T
P170168778,10/18/2017 0:00,2013,1171,HILDEBRAND LN NE,122535146,23619546,PC4
P170167512,10/16/2017 0:00,2157,200,HIGH SCHOOL RD NE,122476500,23646200,MENTAB
P170167623,10/17/2017 0:00,0319,755,FAIRVIEW AVE NE,123054896,23458647,BURGL1
P170162068,10/6/2017 0:00,2018,,KIMIKO LN / NE NEW BROOKLYN RD,122451405,23903014,CELL
P170162114,10/6/2017 0:00,2139,11800,NORTH MADISON AVE NE,122491045,24900950,PC4
P170164113,10/10/2017 0:00,1619,10005,MANITOU BEACH DR NE,122617295,24407649,PC4
P170162292,10/7/2017 0:00,0909,9284,FERNCLIFF AVE NE,122695345,24062948,SUICIA
P170162315,10/7/2017 0:00,1013,10356,NE SASQUATCH LN,122695497,25006685,BRUSH
P170162355,10/7/2017 0:00,1119,,NE LOVGREEN RD E / STATE HWY 305 NE,122194159,24976179,WC3
P170167665,10/17/2017 0:00,0547,16284,REITAN RD NE,121441819,26431759,PC4
P170167691,10/17/2017 0:00,0732,382,WINSLOW WAY E,122518261,23246327,PC4
P170167732,10/17/2017 0:00,0907,11000-BL,SUNRISE DR NE,122721782,24631084,T
P170167738,10/17/2017 0:00,0917,15888,AGATE PASS BRG,121361089,26487955,FU
P170167862,10/17/2017 0:00,1220,8840,MADISON AVE N,122443107,23934045,PC4
P170167945,10/17/2017 0:00,1421,6885,NE SEABOLD CHURCH RD,121619379,25910179,PC4
P170169321,10/19/2017 0:00,2124,240,WEAVER RD NW,122177400,23311200,PC4
P170168096,10/17/2017 0:00,1757,,NE HIDDEN COVE RD / STATE HWY 305 NE,121741380,25661177,T
P170169405,10/20/2017 0:00,0150,7327,NE HIDDEN COVE RD,121719448,25652946,PC4
P170168115,10/17/2017 0:00,1821,19000-BL,VIKING AVE NW,119041018,27337065,T
P170168192,10/17/2017 0:00,2054,168,MADISON AVE N,122428642,23279271,PC4
P170168217,10/17/2017 0:00,2158,16282,REITAN RD NE,121505654,26365926,PC4
P170142372,9/2/2017 0:00,1341,15915,STATE HWY 305 NE,121067300,26442200,INFOP3
P170138162,8/26/2017 0:00,1414,,NE HIGH SCHOOL RD / MADISON AVE N,122434490,23650765,T
P170140536,8/30/2017 0:00,1447,3086,POINT WHITE DR NE,121271243,22044444,TRAFF3
P170140612,8/30/2017 0:00,1659,,MADISON AVE N / STATE HWY 305 NE,122472788,23963126,RECKL4
P170140670,8/30/2017 0:00,1847,625,WINSLOW WAY E,122607645,23236096,FU
P170140691,8/30/2017 0:00,1922,343,WINSLOW WAY E,122501900,23247000,RECKL4
