call_id,agency,actdate,acttime,geox,geoy,streetnbr,street,naturecode
P050002450,BIPD,1/5/2005 0:00,2105,372698772,72094707,,COMMODORE LN NW / NE HIGH SCHOOL RD,T
P050000336,BIPD,1/1/2005 0:00,1704,373294106,72037530,253,HIGH SCHOOL RD NE,T
P050000291,BIPD,1/1/2005 0:00,1528,370694396,71737371,7562,FLETCHER BAY RD NE,MALIC4
P050001325,BIPD,1/3/2005 0:00,1647,371155918,68872277,4689,LYNWOOD CENTER RD NE,ASSIS4
P050002923,BIPD,1/6/2005 0:00,2154,373374757,74083856,,EDGECOMBE PL NE / MANITOU BEACH DR NE,T
P050002983,BIPD,1/7/2005 0:00,0010,371066568,78207718,,NE HIDDEN COVE RD / STATE HY 305 NE,T
P050001197,BIPD,1/3/2005 0:00,1222,373028796,74084211,,SPORTSMAN CLUB RD NE / NE WARDWELL RD,T
P050001151,BIPD,1/3/2005 0:00,1057,370358621,80440826,16300,REITAN RD NE,ASSIS3
P050001144,BIPD,1/3/2005 0:00,1046,374694665,71231435,11070,NE WING POINT WY,PC3
P050000954,BIPD,1/2/2005 0:00,2151,373286910,76887951,12781,N MADISON AV NE,FI
P050000853,BIPD,1/2/2005 0:00,1756,373193565,72464963,6886,MADISON AV N,FI
P050003153,BIPD,1/7/2005 0:00,1210,373186870,72101017,,NE HIGH SCHOOL RD / MADISON AV N,T
P050000827,BIPD,1/2/2005 0:00,1702,371121462,68658053,,LYNWOOD CENTER RD NE / POINT WHITE DR NE,T
P050000800,BIPD,1/2/2005 0:00,1605,371315772,76567232,,NE BERGMAN RD / MILLER RD NE,T
P050000726,BIPD,1/2/2005 0:00,1228,373287391,76913111,12819,N MADISON AV NE,WC911
P050002053,BIPD,1/5/2005 0:00,0356,373698391,70849225,625,WINSLOW WY E,WRT4
P050003760,BIPD,1/8/2005 0:00,1508,374678507,72008406,8010,GRAND AV,BURGL4
P050003864,BIPD,1/8/2005 0:00,2007,372865528,71280293,,GROW AV NW / WYATT WY NW,T
P050003931,BIPD,1/8/2005 0:00,2219,373287280,76904551,,NE DAY RD E / N MADISON AV NE,T
P050002219,BIPD,1/5/2005 0:00,1406,373698391,70849225,625,WINSLOW WY E,FI
P050002947,BIPD,1/6/2005 0:00,2242,373590403,72068878,,NE HIGH SCHOOL RD / STATE HY 305 NE,T
P050002958,BIPD,1/6/2005 0:00,2314,374242889,74427426,,FALK RD NE / MANITOU BEACH DR NE,SUSPI3
P050002999,BIPD,1/7/2005 0:00,0121,368775539,80378467,,CANDY LP NE / STATE HY 305 NE,T
P050003052,BIPD,1/7/2005 0:00,0810,372865528,71280293,,GROW AV NW / WYATT WY NW,BLSG
P050003079,BIPD,1/7/2005 0:00,0930,371936193,76953219,,NE DAY RD E / STATE HY 305 NE,FOUND4
P050000302,BIPD,1/1/2005 0:00,1558,373153198,70600266,,MADISON AV S / PARFITT WY SW,PARKI3
P050000672,BIPD,1/2/2005 0:00,0852,371940644,72928746,8400,NE NEW BROOKLYN RD,FU
P050003414,BIPD,1/7/2005 0:00,2044,373987741,72059515,,FERNCLIFF AV NE / NE HIGH SCHOOL RD,T
P050003419,BIPD,1/7/2005 0:00,2059,372545183,69844310,,EAGLE HARBOR DR NE / WIMSEY AV NE,T
P050003421,BIPD,1/7/2005 0:00,2117,373987741,72059515,,FERNCLIFF AV NE / NE HIGH SCHOOL RD,T
P050000640,BIPD,1/2/2005 0:00,0604,373058406,74099172,,SPORTSMAN CLUB RD NE / STATE HY 305 NE,T
P050000579,BIPD,1/2/2005 0:00,0049,370529206,79640777,,AGATEWOOD RD NE / STATE HY 305 NE,T
P050003117,BIPD,1/7/2005 0:00,1046,371160079,68890529,4765,LYNWOOD CENTER RD NE,FI
P050001043,BIPD,1/3/2005 0:00,0543,371936193,76953219,,NE DAY RD E / STATE HY 305 NE,T
P050000937,BIPD,1/2/2005 0:00,2111,373788402,73474783,,WILKES SCHOOL,FI
P050003399,BIPD,1/7/2005 0:00,2018,371965880,71316747,,FINCH RD NE / NE WYATT WY,T
P050003439,BIPD,1/7/2005 0:00,2153,369920520,72956565,,FLETCHER BAY RD NE / MILLER RD NE,T
P050000924,BIPD,1/2/2005 0:00,2043,372369100,71296311,,WEAVER AV NE / WYATT WY NE,T
P050002309,BIPD,1/5/2005 0:00,1626,0,0,,DAY / DAY ROAD INDUSTRIAL PARK,T
