call_id,actdate,acttime,streetnbr,street,geox,geoy,naturecode,agency
P170001769,1/4/2017 0:00,0913,,NE HIGH SCHOOL RD / MADISON AVE N,122434490,23650765,T,
P170001695,1/4/2017 0:00,0424,8040,NE DAY RD W,121947794,25271751,PC4,
P170001654,1/4/2017 0:00,0100,465,WINSLOW WAY E,122544095,23233646,THEFT3,
P170001601,1/3/2017 0:00,2151,15446,SUNRISE DR NE,122763796,26092302,PC4,
P170000955,1/2/2017 0:00,2053,482,FERNCLIFF AVE NE,122693241,23370550,PC4,
P170000502,1/1/2017 0:00,2257,11299,ARROW PT DR NE,121038257,24618283,SUSPI4,
P170000500,1/1/2017 0:00,2253,,NE HIDDEN COVE RD / STATE HWY 305 NE,121741380,25661177,T,
P170000453,1/1/2017 0:00,2117,4759,LYNWOOD CENTER RD NE,121754144,22568645,T,
P170000111,1/1/2017 0:00,0501,14044,NORTH MADISON AVE NE,122454749,25640391,PC4,
P170000071,1/1/2017 0:00,0212,11299,ARROW PT DR NE,121024031,24618843,PC4,
P170000032,1/1/2017 0:00,0121,787,CHERRY AVE NE,122958855,23478685,PC4,
P170000027,1/1/2017 0:00,0115,,"XY(119732244,22302891)",119732244,22302891,T,
P170000850,1/2/2017 0:00,1631,9000-BLK,MILLER RD NE,121338508,24002010,T,
P170000815,1/2/2017 0:00,1454,,MILLER RD NE / NE TOLO RD,121434233,24330578,T,
P170001087,1/3/2017 0:00,0455,556,WINSLOW WAY E,122569938,23246475,PC4,
P170001120,1/3/2017 0:00,0740,13675,STATE HWY 305 NE,121817695,25549145,MISC3,
P170001181,1/3/2017 0:00,1007,,NE BUSINESS PARK LN / COPPERTOP LOOP NE,122341873,24093714,T,
P170000736,1/2/2017 0:00,1227,301,HIGH SCHOOL RD NE,122491500,23645900,ASSIS3,
P170000666,1/2/2017 0:00,1047,625,WINSLOW WAY E,122607645,23236096,MISC4,
P170000581,1/2/2017 0:00,0318,9518,MANITOU BEACH DR NE,122436765,24308680,PC4,
P170000578,1/2/2017 0:00,0302,1388,CHERRY AVE NE,122854734,23669924,PC4,
P170000575,1/2/2017 0:00,0241,15446,SUNRISE DR NE,122763796,26092302,PC4,
P170000552,1/2/2017 0:00,0111,1211,HILDEBRAND LN NE,122535551,23636965,PC4,
P170000490,1/1/2017 0:00,2236,,NE HIGH SCHOOL RD / MADISON AVE N,122434490,23650765,T,
P170000474,1/1/2017 0:00,2201,9000-BLK,MILLER RD NE,121338508,24002010,T,
P170000472,1/1/2017 0:00,2159,,FERNCLIFF AVE NE / HIGH SCHOOL RD NE,122700573,23641750,T,
P170000467,1/1/2017 0:00,2145,465,AMBROSE LN NW,122395428,23365433,PC4,
P170000459,1/1/2017 0:00,2133,,HIGH SCHOOL RD NE / STATE HWY 305 NE,122571327,23644516,T,
P170000119,1/1/2017 0:00,0604,,NE DAY RD E / NE YETI LN,122024554,25272970,CELL,
P170000054,1/1/2017 0:00,0146,499,OLYMPIC DR SE,122674000,23182900,PC4,
P170000039,1/1/2017 0:00,0128,1934,SHERIDAN RD,120028190,21979344,T,
P160213329,1/1/2017 0:00,0027,,CENTRAL VALLEY RD NE / NW WAAGA WAY,119260602,24257707,T,
P170000420,1/1/2017 0:00,1951,9330,NE HIGH SCHOOL RD,122364045,23666097,PC4,
P170000408,1/1/2017 0:00,1901,13240,PHELPS RD NE,122100986,25380964,WC4,
P170000368,1/1/2017 0:00,1734,629,WINSLOW WAY E,122604579,23245314,PC4,
P170000354,1/1/2017 0:00,1714,11174,SUNRISE DR NE,122722611,24689467,PC4,
P170001582,1/3/2017 0:00,2041,601,HIGH SCHOOL RD NE,122588345,23631497,ASSIS3,
P170001587,1/3/2017 0:00,2058,4751,LYNWOOD CENTER RD NE,121762067,22564637,PC4,
P170001690,1/4/2017 0:00,0415,1007,HILDEBRAND LN NE,122533677,23552275,PC4,
P170001528,1/3/2017 0:00,1840,8727,BLAKELY AVE NE,122082244,22339595,BURGL2,
P170001770,1/4/2017 0:00,0914,,NE HIGH SCHOOL RD / MADISON AVE N,122434490,23650765,T,
P170001607,1/3/2017 0:00,2212,15568,AGATEWOOD RD NE,121570029,26157948,PC4,
P160213322,1/1/2017 0:00,0020,,FALK RD NE / MANITOU BEACH DR NE,122783415,24418658,FIREW4,
P170001617,1/3/2017 0:00,2240,9330,NE HIGH SCHOOL RD,122364045,23666097,PC4,
P170001703,1/4/2017 0:00,0514,579,BJUNE DR SE,122532851,23238428,PC4,
P170001589,1/3/2017 0:00,2102,15466,SUNRISE DR NE,122753059,26107165,PC4,
P170001433,1/3/2017 0:00,1604,,NE BUCKLIN HILL RD / FLETCHER BAY RD NE,121727008,23138339,DUI3,
P170001780,1/4/2017 0:00,0929,,HIGH SCHOOL RD NE / HILDEBRAND LN NE,122535741,23645021,T,
P170001465,1/3/2017 0:00,1640,,MILLER RD NE / NE NEW BROOKLYN RD,121365993,23936591,RECKL3,
P170001333,1/3/2017 0:00,1358,,SPORTSMAN CLUB RD NE / STATE HWY 305 NE,122395381,24298435,T,
P170001193,1/3/2017 0:00,1034,,NE BERGMAN RD / MILLER RD NE,121830258,25125132,T,
P170001077,1/3/2017 0:00,0344,4800,ROCKAWAY BEACH RD NE,122925725,22368787,SUSPI4,
P170001015,1/2/2017 0:00,2310,,DIVISION AVE NE / NE GENEVA ST,121597135,27228971,ASSIS3,
P170002159,1/4/2017 0:00,2246,625,WINSLOW WAY E,122607645,23236096,ASSIS4,
P170001620,1/3/2017 0:00,2253,11299,ARROW PT DR NE,121011654,24608020,PC4,
P170001385,1/3/2017 0:00,1505,,"XY(122255872,24133522)",122255872,24133522,CELL,
P170001359,1/3/2017 0:00,1425,13253,TEEM LOOP RD NE,122009694,25405951,FRAUD4,
P170001338,1/3/2017 0:00,1402,253,HIGH SCHOOL RD NE,122470100,23646300,MVC4,
P170001165,1/3/2017 0:00,0934,9624,SPORTSMAN CLUB RD NE,122373345,24193248,T,
P170000345,1/1/2017 0:00,1703,15446,SUNRISE DR NE,122763796,26092302,PC4,
P170000282,1/1/2017 0:00,1445,301,SHANNON DR SE,122531725,23167210,TRANS,
P170000142,1/1/2017 0:00,0852,15702,POINT MONROE DR NE,122723795,26304253,TRAFF4,
P170000090,1/1/2017 0:00,0322,10507,NE VALLEY RD,122740407,24697410,PC4,
P170000939,1/2/2017 0:00,2009,10125,THREE T RD NE,122542585,22262765,PC4,
P170001192,1/3/2017 0:00,1033,15089,SIVERTSON RD NE,121944294,26014802,FU,
P170001304,1/3/2017 0:00,1322,15798,STATE HWY 305 NE,121419100,26448500,RECKL3,
P170001166,1/3/2017 0:00,0935,603,NE HIGH SCHOOL RD,122302537,23652570,T,
P170001450,1/3/2017 0:00,1631,253,HIGH SCHOOL RD,118771106,24890339,FU,
P170001577,1/3/2017 0:00,2036,336,WINSLOW WAY E,122501140,23247114,PC4,
P170001072,1/3/2017 0:00,0309,,NE BAKER HILL RD,121737414,22607754,PC4,
P170001696,1/4/2017 0:00,0431,625,WINSLOW WAY E,122607645,23236096,UNKNO4,
P170000606,1/2/2017 0:00,0730,12781,NORTH MADISON AVE NE,122441645,25215900,PC4,
P170000178,1/1/2017 0:00,1103,,"XY(122347982,22571378)",122347982,22571378,CELL,
P170000139,1/1/2017 0:00,0826,15250,ALMA PL NE,121566400,26061700,PC4,
P170001810,1/4/2017 0:00,1030,250,GIDEON LN NW,122373246,23413105,PC4,
P170001135,1/3/2017 0:00,0850,6761,NE SEABOLD RD,121524893,26031852,REPOS,
P170001398,1/3/2017 0:00,1516,9330,NE HIGH SCHOOL RD,122364045,23666097,FU,
P170002011,1/4/2017 0:00,1634,,NE HIGH SCHOOL RD / MADISON AVE N,122434490,23650765,T,
P170001371,1/3/2017 0:00,1452,9443,NE VALLEY RD,122425645,24692999,SUSPI3,
P170001318,1/3/2017 0:00,1335,,NE DAY RD W / MILLER RD NE,121978601,25249261,T,
P170001133,1/3/2017 0:00,0840,,FLETCHER BAY RD NE / NE NEW BROOKLYN RD,121365993,23936591,T,
P170001089,1/3/2017 0:00,0519,13985,STATE HWY 305 NE,121744792,25656173,PC4,
P170000889,1/2/2017 0:00,1806,,NE NEW BROOKLYN RD / SPORTSMAN CLUB RD NE,122235619,23919372,T,
P170001973,1/4/2017 0:00,1536,,NORTH MADISON AVE NE / NE VALLEY RD,122458161,24703570,T,
P170001976,1/4/2017 0:00,1543,,NORTHWIND CT NE / NE WINDSONG LOOP,122378178,24799510,T,
P170001992,1/4/2017 0:00,1608,,FLETCHER BAY RD NE / NE NEW BROOKLYN RD,121365993,23936591,FI,
P170000874,1/2/2017 0:00,1726,,NE HIGH SCHOOL RD / MADISON AVE N,122434490,23650765,RECKL3,
P170000749,1/2/2017 0:00,1247,901,HILDEBRAND LN NE,122517595,23521547,PC4,
P170001008,1/2/2017 0:00,2255,,NE DAY RD E / VISTA DR NE,122352605,25234449,NOISE4,
P170000948,1/2/2017 0:00,2042,253,HIGH SCHOOL RD NE,122484545,23620219,PC4,
P170000885,1/2/2017 0:00,1758,9710,HILLTOP DR NE,122426345,21663643,REPOS,
P170000820,1/2/2017 0:00,1515,11222,MEADOWMEER CIR NE,121977317,24728574,PC4,
P170000753,1/2/2017 0:00,1255,7996,NE BUCKLIN HILL RD,121917113,23137298,PC4,
P170000721,1/2/2017 0:00,1204,,NE HIGH SCHOOL RD / HORIZON VIEW PL NW,122310438,23631740,CELL,
P170001092,1/3/2017 0:00,0528,10446,NE SOUTH BEACH DR,122629408,21403640,PC4,
P170002271,1/5/2017 0:00,0714,,NE LOVGREEN RD E / STATE HWY 305 NE,122194159,24976179,MVCG,
P170001086,1/3/2017 0:00,0447,,NE KOURA RD / STATE HWY 305 NE,122310462,24709752,RECKL3,
P170000972,1/2/2017 0:00,2140,,"XY(122373973,23633262)",122373973,23633262,UNKNO3,
P170002635,1/5/2017 0:00,1551,8521,MADISON AVE N,122388295,23738847,T,
P170002630,1/5/2017 0:00,1546,625,WINSLOW WAY E,122607645,23236096,FU,
P170002824,1/5/2017 0:00,2206,13897,PHELPS RD NE,122279641,25657943,PC4,
P170000661,1/2/2017 0:00,1031,343,WINSLOW WAY E,122501900,23247000,TRAFF3,
P170000602,1/2/2017 0:00,0706,201,CAMELIA LOOP NE,122476232,23598075,PC4,
P170000592,1/2/2017 0:00,0531,4796,LYNWOOD CENTER RD NE,121770156,22596312,PC4,
P170000561,1/2/2017 0:00,0138,7666,NE HIGH SCHOOL RD,121802600,23667700,PC4,
P170000148,1/1/2017 0:00,0908,15446,SUNRISE DR NE,122763796,26092302,PC4,
P170002754,1/5/2017 0:00,1949,199,CAMELIA LOOP NE,122475146,23598420,PC4,
P170002798,1/5/2017 0:00,2123,10726,BATTLE POINT DR NE,121002837,24582189,PC4,
P170002961,1/6/2017 0:00,0834,,NORTH TOWN DR NE / SPORTSMAN CLUB RD NE,122294387,24024244,T,
P170000802,1/2/2017 0:00,1420,121,MADISON AVE N,122409091,23274306,PC4,
P170000705,1/2/2017 0:00,1147,6431,NE EAGLE HARBOR DR,122035194,23151146,FU,
P170002140,1/4/2017 0:00,2211,253,HIGH SCHOOL RD NE,122485341,23619788,PC4,
P170002176,1/4/2017 0:00,2346,,NICHOLSON PL NW / WYATT WAY NW,122251219,23388568,T,
P170000616,1/2/2017 0:00,0802,404,BRIEN DR SE,122517244,23185824,FU,
P170000523,1/1/2017 0:00,2329,256,WINSLOW WAY E,122480430,23247877,ALRA,
P170000488,1/1/2017 0:00,2236,253,HIGH SCHOOL RD NE,122488024,23624211,PC4,
P170002559,1/5/2017 0:00,1434,,NE HIGH SCHOOL RD / MADISON AVE N,122440109,23650036,T,
P170000125,1/1/2017 0:00,0656,907,CARVER ST,118435000,20790500,MEDIA,
P170002310,1/5/2017 0:00,0844,,ALDER AVE NE / NE WING POINT WAY,122989465,23367056,T,
P170001974,1/4/2017 0:00,1537,,NE BUSINESS PARK LN / SPORTSMAN CLUB RD NE,122322363,24094833,T,
P170001955,1/4/2017 0:00,1450,,NORTH TOWN DR NE / SPORTSMAN CLUB RD NE,122294387,24024244,T,
P170001954,1/4/2017 0:00,1445,,NE BUSINESS PARK LN / SPORTSMAN CLUB RD NE,122322363,24094833,T,
P170001874,1/4/2017 0:00,1249,,HIGH SCHOOL RD NE / STATE HWY 305 NE,122571327,23644516,WC3,
P170002623,1/5/2017 0:00,1539,8521,MADISON AVE N,122388295,23738847,T,
P170002823,1/5/2017 0:00,2206,13545,PHELPS RD NE,122275045,25679301,PC4,
P170000461,1/1/2017 0:00,2134,9000-BLK,MILLER RD NE,121338508,24002010,T,
P170003003,1/6/2017 0:00,0948,,NE HIGH SCHOOL RD / MADISON AVE N,122434490,23650765,T,
P170002970,1/6/2017 0:00,0905,3905,EL CIMO LN NE,121283593,22246694,BURGL4,
P170000455,1/1/2017 0:00,2122,,MILLER RD NE / NE TOLO RD,121434233,24330578,T,
P170000664,1/2/2017 0:00,1044,249,WINSLOW WAY E,122475745,23238896,ALRB,
P170003189,1/6/2017 0:00,1540,12781,NORTH MADISON AVE NE,122441645,25215900,T,
P170003212,1/6/2017 0:00,1602,253,HIGH SCHOOL RD NE,122470100,23646300,SUSPI3,
P170000655,1/2/2017 0:00,1007,271,WINSLOW WAY E,122484900,23247700,SUSPI4,
P170000630,1/2/2017 0:00,0904,10683,NE SEABORN RD,122756646,22251895,WC911,
P170000603,1/2/2017 0:00,0708,1313,WINTERGREEN LN NE,122611911,23663987,PC4,
P170001861,1/4/2017 0:00,1232,3400,POINT WHITE DR NE,121405777,22165944,T,
P170001816,1/4/2017 0:00,1046,8736,NE ROSARIO PL,122152794,23621797,SUSPI4,
P170001637,1/3/2017 0:00,2333,791,CHERRY AVE NE,122958879,23480213,PC4,
P170002359,1/5/2017 0:00,1029,,NE SILVER WILLOW LN / SPRINGRIDGE RD NE,121250820,23765323,T,
P170002380,1/5/2017 0:00,1053,8300,SPRINGRIDGE RD NE,121251002,23786161,T,
P170002408,1/5/2017 0:00,1124,,MADISON AVE N / WALLACE WAY NE,122433841,23514716,T,
P170000449,1/1/2017 0:00,2108,,NE MORGAN RD / STATE HWY 305 NE,122252945,24842500,T,
P170000431,1/1/2017 0:00,2018,11299,ARROW POINT DR NE,121095342,24676599,PC4,
P170000423,1/1/2017 0:00,2002,8516,SPORTSMAN CLUB RD NE,122172932,23836013,PC4,
P170000263,1/1/2017 0:00,1354,301,SHANNON DR SE,122531725,23167210,BURGL2,
P170000053,1/1/2017 0:00,0143,,16TH ST / WARREN AVE,119626456,21522053,T,
P170002429,1/5/2017 0:00,1152,,HIGH SCHOOL RD NW / PATMOS LN NW,122237908,23654921,T,
P170002535,1/5/2017 0:00,1404,9800-BLK,MANITOU BEACH DR NE,122538374,24306486,T,
P170002543,1/5/2017 0:00,1417,9060,MILLER RD NE,121330639,24021785,ABAND4,
P170002575,1/5/2017 0:00,1449,9500,SPORTSMAN CLUB RD NE,122354106,24174958,T,
P170002584,1/5/2017 0:00,1457,,MILLER RD NE / NE NEW BROOKLYN RD,121365993,23936591,T,
P170002637,1/5/2017 0:00,1555,8521,MADISON AVE N,122388295,23738847,T,
P170000001,1/1/2017 0:00,0041,,AGATE POINT RD NE / NE NORTH ST,121842188,26631481,FI,
P170001634,1/3/2017 0:00,2324,253,HIGH SCHOOL RD NE,122485019,23619905,PC4,
P170001683,1/4/2017 0:00,0254,465,WINSLOW WAY E,122544095,23233646,FU,
P170003497,1/7/2017 0:00,0341,14017,PHELPS RD NE,122298265,25682559,PC4,
P170003520,1/7/2017 0:00,0603,,HIGH SCHOOL RD NE / STATE HWY 305 NE,122571327,23644516,T,
P170001754,1/4/2017 0:00,0834,,FERRYVIEW LN NE / WING POINT WAY NE,122830809,23372231,T,
P170000565,1/2/2017 0:00,0148,3590,NE EAGLE HARBOR DR,122901414,22858680,PC4,
P170000519,1/1/2017 0:00,2321,,NE HIDDEN COVE RD / STATE HWY 305 NE,121741380,25661177,T,
P170000393,1/1/2017 0:00,1819,,NE KOURA RD / STATE HWY 305 NE,122310462,24709752,DUI3,
P170000376,1/1/2017 0:00,1746,,SPORTSMAN CLUB RD NE / STATE HWY 305 NE,122395381,24298435,T,
P170000255,1/1/2017 0:00,1345,200,NE HIGH SCHOOL RD,122481895,23673747,WC4,
P170000107,1/1/2017 0:00,0442,625,WINSLOW WAY E,122607645,23236096,MISC3,
P170002790,1/5/2017 0:00,2111,7644,NE DAY RD W,121826500,25255700,PC4,
P170002959,1/6/2017 0:00,0829,,NE NEW BROOKLYN RD / SPORTSMAN CLUB RD NE,122235619,23919372,T,
P170002965,1/6/2017 0:00,0855,,NE BERGMAN RD / MILLER RD NE,121830258,25125132,T,
P170002966,1/6/2017 0:00,0857,,SPORTSMAN CLUB RD NE / STATE HWY 305 NE,122395381,24298435,DUI3,
P170003111,1/6/2017 0:00,1344,,NE NEW BROOKLYN RD / SPORTSMAN CLUB RD NE,122235619,23919372,T,
P170003207,1/6/2017 0:00,1557,8395,FLETCHER BAY RD NE,121404093,23823098,FI,
P170001788,1/4/2017 0:00,0947,,NE AVALON LN / BLAKELY AVE NE,122002573,22667486,T,
P170003715,1/7/2017 0:00,1346,,AGATEWOOD RD NE / STATE HWY 305 NE,121562268,26138373,FI,
P170001901,1/4/2017 0:00,1331,,BATTLE POINT DR NE / MILLER RD NE,121350570,24127016,FI,
P170004172,1/8/2017 0:00,1314,6083,CRYSTAL SPRINGS DR NE,121078942,23054246,TRAFF3,
P170001938,1/4/2017 0:00,1428,,NE BUSINESS PARK LN / COPPERTOP LOOP NE,122341873,24093714,T,
P170001945,1/4/2017 0:00,1436,8100-BLK,SPRINGRIDGE RD NE,121249966,23716983,T,
P170000081,1/1/2017 0:00,0237,499,OLYMPIC DR SE,122674000,23182900,PC4,
P170001943,1/4/2017 0:00,1431,9330,NE HIGH SCHOOL RD,122364045,23666097,SEXOF5,
P170001975,1/4/2017 0:00,1538,,NE HIGH SCHOOL RD / MADISON AVE N,122433878,23644050,T,
P170004116,1/8/2017 0:00,0950,907,CARVER ST,118435000,20790500,MEDIA,
P170002076,1/4/2017 0:00,1923,13545,PHELPS RD NE,122275045,25679301,PC4,
P170003402,1/6/2017 0:00,2217,15446,SUNRISE DR NE,122763796,26092302,PC4,
P170003653,1/7/2017 0:00,1211,,MILLER RD NE / NE NEW BROOKLYN RD,121365993,23936591,T,
P170003726,1/7/2017 0:00,1358,,NE BEACH CREST DR / NORTH MADISON AVE NE,122453040,24439481,T,
P170003970,1/7/2017 0:00,2356,211,MADRONA WAY NE,122457018,23336903,WC3,
P170004119,1/8/2017 0:00,1001,274,KNECHTEL WAY NE,122485621,23447210,PC4,
P170004150,1/8/2017 0:00,1157,625,WINSLOW WAY E,122607645,23236096,MISC4,
P170001957,1/4/2017 0:00,1453,,FLETCHER BAY RD NE / NE FOSTER RD,121187943,23940821,T,
P170001952,1/4/2017 0:00,1439,285,MADISON AVE S,122426500,23199000,CPR,
P170002004,1/4/2017 0:00,1623,,GROW AVE NW / NE HIGH SCHOOL RD,122338072,23651202,T,
P170002110,1/4/2017 0:00,2040,,NE HIDDEN COVE RD / STATE HWY 305 NE,121741380,25661177,T,
P170000852,1/2/2017 0:00,1636,,MILLER RD NE / NE TOLO RD,121434233,24330578,T,
P170002183,1/4/2017 0:00,2358,253,HIGH SCHOOL RD NE,122481543,23611328,PC4,
P170004184,1/8/2017 0:00,1341,133,WINSLOW WAY E,122437295,23243796,PC4,
P170004318,1/8/2017 0:00,2049,,HIGH SCHOOL RD NE / STATE HWY 305 NE,122571327,23644516,RECKL3,
P170004332,1/8/2017 0:00,2127,625,WINSLOW WAY E,122607645,23236096,FU,
P170004346,1/8/2017 0:00,2217,8772,NE HIGH SCHOOL RD,122143790,23658119,PC4,
P170004360,1/8/2017 0:00,2325,5905,ROSE LOOP NE,122343895,22974396,ALRA,
P170004465,1/9/2017 0:00,0753,420,HIGH SCHOOL RD NW,122266190,23654037,T,
P170002141,1/4/2017 0:00,2215,3949,CRYSTAL SPRINGS DR NE,121044292,22370245,FI,
P170004952,1/10/2017 0:00,0301,10377,NE VALLEY RD,122715305,24697847,PC4,
P170002277,1/5/2017 0:00,0736,,NE NEW BROOKLYN RD / SPORTSMAN CLUB RD NE,122235619,23919372,T,
P170002285,1/5/2017 0:00,0745,,STATE HWY 305 NE / WINSLOW WAY E,122597314,23245536,T,
P170002316,1/5/2017 0:00,0853,625,WINSLOW WAY E,122607645,23236096,MVC4,
P170002436,1/5/2017 0:00,1159,,COMMODORE LN NW / HIGH SCHOOL RD NW,122276105,23653692,T,
P170002336,1/5/2017 0:00,0938,406,HIGH SCHOOL RD NE,122537800,23644900,T,
P170002503,1/5/2017 0:00,1335,,NORTH TOWN DR NE / SPORTSMAN CLUB RD NE,122294387,24024244,T,
P170002852,1/5/2017 0:00,2308,253,HIGH SCHOOL RD NE,122470100,23646300,PC4,
P170003104,1/6/2017 0:00,1336,253,HIGH SCHOOL RD NE,122470100,23646300,T,
P170003156,1/6/2017 0:00,1457,,NE BAY HILL RD / MILLER RD NE,121654047,24856881,T,
P170005778,1/11/2017 0:00,1330,,HIGH SCHOOL RD NE / STATE HWY 305 NE,122571327,23644516,T,
P170001042,1/3/2017 0:00,0037,113,MADISON AVE N,122428050,23254880,PC4,
P170000988,1/2/2017 0:00,2211,245,NE HIGH SCHOOL RD,122404295,23635147,WRT3,
P170001903,1/4/2017 0:00,1335,,MILLER RD NE / PETERSON HILL RD NE,121669910,24878617,T,
P170001899,1/4/2017 0:00,1324,465,WINSLOW WAY E,122544095,23233646,WC4,
P170000971,1/2/2017 0:00,2137,,NE DAY RD E / VISTA DR NE,122352605,25234449,T,
P170004513,1/9/2017 0:00,0939,11042,SUNRISE DR NE,122735688,24663088,BURGL4,
P170004608,1/9/2017 0:00,1239,11129,OLALLIE LN NE,120858042,24744449,SUSPI4,
P170005238,1/10/2017 0:00,1422,9000-BLK,MILLER RD NE,121338508,24002010,T,
P170005325,1/10/2017 0:00,1631,625,WINSLOW WAY E,122607645,23236096,MISC4,
P170005329,1/10/2017 0:00,1643,,AGATE PASS RD NE / NE SANWICK PL,121724130,26557660,MVCG,
P170005469,1/10/2017 0:00,2105,10931,ARROW POINT DR NE,121137170,24667052,PC4,
P170001022,1/2/2017 0:00,2331,9531,NE DAY RD E,122445529,25231615,PC4,
P170001039,1/3/2017 0:00,0028,9330,NE HIGH SCHOOL RD,122364045,23666097,PC4,
P170002842,1/5/2017 0:00,2252,5397,CREOSOTE PL NE,122938170,22897168,PC4,
P170002915,1/6/2017 0:00,0340,7644,NE DAY RD W,121826500,25255700,PC4,
P170002918,1/6/2017 0:00,0404,12781,N MADISON AVE,122411335,25223061,PC4,
P170003127,1/6/2017 0:00,1357,625,WINSLOW WAY E,122607645,23236096,INFOP4,
P170002547,1/5/2017 0:00,1421,3949,CRYSTAL SPRINGS DR NE,121044292,22370245,INTOX3,
P170003013,1/6/2017 0:00,1023,245,NE HIGH SCHOOL RD,122404295,23635147,UNWAN3,
P170003027,1/6/2017 0:00,1114,12072,SUNRISE DR NE,122728526,24979621,FU,
P170003149,1/6/2017 0:00,1443,220,MADISON AVE S,122436795,23204396,FI,
P170003277,1/6/2017 0:00,1747,625,WINSLOW WAY E,122607645,23236096,VERBA3,
P170003328,1/6/2017 0:00,1925,1315,WINTERGREEN LN NE,122603642,23680795,PC4,
P170003166,1/6/2017 0:00,1509,,FINCH RD NE / NE HIGH SCHOOL RD,122040846,23661891,T,
P170003162,1/6/2017 0:00,1505,625,WINSLOW WAY E,122607645,23236096,FI,
P170003169,1/6/2017 0:00,1514,,NE HIGH SCHOOL RD / MADISON AVE N,122434490,23650765,T,
P170003187,1/6/2017 0:00,1535,,NE DAY RD E / VISTA DR NE,122352605,25234449,T,
P170003248,1/6/2017 0:00,1650,1650,DEVENNY AVE NE,122413345,21552643,WC3,
P170003326,1/6/2017 0:00,1924,,MADISON AVE N / STATE HWY 305 NE,122472788,23963126,T,
P170005498,1/10/2017 0:00,2146,16276,REITAN RD NE,121509598,26391389,PC4,
P170005581,1/11/2017 0:00,0235,7666,NE HIGH SCHOOL RD,121802600,23667700,PC4,
P170005609,1/11/2017 0:00,0539,11130,STATE HWY 305 NE,122322171,24683616,PC4,
P170005649,1/11/2017 0:00,0912,299,SHANNON DR SE,122508700,23164500,SERVI,
P170005756,1/11/2017 0:00,1259,,HIGH SCHOOL RD NE / STATE HWY 305 NE,122571327,23644516,FU,
P170005773,1/11/2017 0:00,1322,8563,NE DAY RD E,122131244,25205750,T,
P170003485,1/7/2017 0:00,0233,,PHELPS RD NE / NE YETI LN,122046952,25325588,T,
P170003541,1/7/2017 0:00,0821,907,CARVER ST,118435000,20790500,MEDIA,
P170003621,1/7/2017 0:00,1112,6750,NE KOURA RD,121519524,24729326,THEFT4,
P170004082,1/8/2017 0:00,0736,7257,NE BERGMAN RD,121721082,25088906,PROWL3,
P170004406,1/9/2017 0:00,0337,11299,ARROW PT DR NE,121051274,24597391,PC4,
P170006273,1/12/2017 0:00,1223,,NE HIGH SCHOOL RD / MADISON AVE N,122434490,23650765,RECKL3,
P170005766,1/11/2017 0:00,1312,,NE NEW BROOKLYN RD / NORTH TOWN DR NE,122285390,23917601,T,
P170003501,1/7/2017 0:00,0357,9330,NE HIGH SCHOOL RD,122364045,23666097,T,
P170003524,1/7/2017 0:00,0657,221,SHANNON DR SE,122464176,23194975,DOAB,
P170003683,1/7/2017 0:00,1258,,AGATEWOOD RD NE / STATE HWY 305 NE,121562268,26138373,MVCG,
P170006065,1/12/2017 0:00,0259,4793,LYNWOOD CENTER RD NE,121766282,22581770,PC4,
P170003508,1/7/2017 0:00,0500,1427,FORT WARD HILL RD NE,122348895,21498393,RUNAW4,
P170005955,1/11/2017 0:00,2006,1212,HILDEBRAND LN NE,122535558,23637089,PC4,
P170006109,1/12/2017 0:00,0730,,MANITOU BEACH DR NE / NE MURDEN COVE DR,122519592,24304540,T,
P170006161,1/12/2017 0:00,0939,6536,NE LATYSON LN,121324293,22292995,FU,
P170006222,1/12/2017 0:00,1055,,NORTH TOWN DR NE / SPORTSMAN CLUB RD NE,122294387,24024244,T,
P170006258,1/12/2017 0:00,1201,406,HIGH SCHOOL RD NE,122537800,23644900,WC4,
P170004505,1/9/2017 0:00,0911,,MADISON AVE N / STATE HWY 305 NE,122472788,23963126,T,
P170004536,1/9/2017 0:00,1020,7305,NE HIDDEN COVE RD,121796062,25528639,FU,
P170004809,1/9/2017 0:00,1807,907,CARVER ST,118435000,20790500,MEDIA,
P170004922,1/9/2017 0:00,2348,15554,AGATEWOOD RD NE,121570136,26153123,PC4,
P170006679,1/13/2017 0:00,0808,7861,NE BUCKLIN HILL RD,121868094,23114996,ALRA,
P170004923,1/9/2017 0:00,2349,10778,BATTLE POINT DR NE,121003043,24598677,PC4,
P170003703,1/7/2017 0:00,1325,245,NE HIGH SCHOOL RD,122404295,23635147,WC3,
P170003773,1/7/2017 0:00,1534,16221,REITAN RD NE,121433043,26338303,SUSPI3,
P170006136,1/12/2017 0:00,0846,349,HIGH SCHOOL RD NW,122257096,23654360,FRAUD4,
P170006160,1/12/2017 0:00,0938,,NE HIGH SCHOOL RD / MADISON AVE N,122434490,23650765,T,
P170003786,1/7/2017 0:00,1556,11707,ARROW POINT DR NE,121131842,24875300,FOUND4,
P170003948,1/7/2017 0:00,2323,2600,FORT WARD HILL RD NE,122359200,21867100,PC4,
P170006274,1/12/2017 0:00,1225,,MADISON AVE N / NE NEW BROOKLYN RD,122442445,23911861,T,
P170006328,1/12/2017 0:00,1411,,MADISON AVE N / STATE HWY 305 NE,122472788,23963126,T,
P170006369,1/12/2017 0:00,1524,406,HIGH SCHOOL RD NE,122537800,23644900,ASSIS3,
