call_id,agency,actdate,acttime,streetnbr,street,geox,geoy,naturecode
P09000120B7IPD,,1/3/2009 0:00,0211,,SPORTSMAN CLUB RD NE / STATE HWY 305 NE,122395136,24298387,T
P09000382B6IPD,,1/7/2009 0:00,1713,11050,NE SEABORN RD,122822950,22238670,TRAFF3
P09000114B9IPD,,1/3/2009 0:00,0020,4704,BLAKELY AVE NE,122026997,22580183,T
P09000116B2IPD,,1/3/2009 0:00,0057,,NE DAY RD E / STATE HWY 305 NE,122023402,25247379,T
P09000044B8IPD,,1/1/2009 0:00,2007,,MANDUS OLSON RD NE / NE MEADOWMEER LN,121795012,24641996,FIREW3
P09000003B8IPD,,1/1/2009 0:00,0046,,HIGH SCHOOL RD NE / STATE HWY 305 NE,122571082,23644469,T
P09000220B3IPD,,1/4/2009 0:00,2151,,FERNCLIFF AVE NE / GRAND AVE NE,122707500,23906698,TRAFF3
P09000222B9IPD,,1/4/2009 0:00,2234,,TANGLEBERRY LN NE / NE WILD ROSE LN,121480207,22544292,PC3
P09000116B0IPD,,1/3/2009 0:00,0052,,NE EMERALD WAY / LYNWOOD CENTER RD NE,121767657,22803396,T
P09000380B1IPD,,1/7/2009 0:00,1626,1250,WEAVER AVE NW,122172077,23631637,BURGL3
P09000113B7IPD,,1/2/2009 0:00,2356,,NE BATTLE POINT DR / MILLER RD NE,121350327,24126968,T
P09000395B6IPD,,1/7/2009 0:00,2252,,COMMODORE LN NW / NE HIGH SCHOOL RD,122275860,23653645,TRAFF3
P09000047B0IPD,,1/1/2009 0:00,2117,,NE HIGH SCHOOL RD / MADISON AVE N,122439778,23649794,T
P09000037B9IPD,,1/1/2009 0:00,1639,625,WINSLOW WAY E,122603318,23237267,FU
P09000107B2IPD,,1/2/2009 0:00,2103,,NE DAY RD E / N MADISON AVE NE,122468811,25230896,SUSPI3
P09000095B7IPD,,1/2/2009 0:00,1729,380,WINSLOW WAY E,122518212,23251620,ALSP
P09000081B6IPD,,1/2/2009 0:00,1436,11000,MILLER RD NE,121556543,24661315,TRAFF3
P09000074B3IPD,,1/2/2009 0:00,1250,234,WOOD AVE SW,122346662,23214327,THEFT4
P09000225B3IPD,,1/4/2009 0:00,2307,,NE HIDDEN COVE RD / MANZANITA RD NE,121491223,25653561,TRAFF3
P09000226B0IPD,,1/4/2009 0:00,2325,,NE KOURA RD / STATE HWY 305 NE,122310217,24709702,TRAFF3
P09000113B9IPD,,1/3/2009 0:00,0005,8545,FLETCHER BAY RD NE,121386873,23865255,T
P09000410B9IPD,,1/8/2009 0:00,0834,,MADISON AVE N / NE NEW BROOKLYN RD,122442200,23911813,T
P09000411B2IPD,,1/8/2009 0:00,0844,,NE HIGH SCHOOL RD / SPORTSMAN CLUB RD NE,122100813,23659652,T
P09000062B1IPD,,1/2/2009 0:00,0837,,HOLLY FARM LN NE / NE NEW BROOKLYN RD,121517247,23935124,T
P09000222B0IPD,,1/4/2009 0:00,2215,6922,NE BAKER HILL RD,121536145,22611349,WIRESF
P09000224B1IPD,,1/4/2009 0:00,2248,,STATE HWY 305 NE / VINEYARD LN,122556963,23457347,TRAFF3
P09000223B5IPD,,1/4/2009 0:00,2242,,NE DAY RD W / MANZANITA RD NE,121483434,25260567,TRAFF3
P09000226B5IPD,,1/4/2009 0:00,2337,,NE MAXWELL LN / MILLER RD NE,121347636,24121488,FI
P09000226B3IPD,,1/4/2009 0:00,2330,,NE BATTLE POINT DR / MILLER RD NE,121350327,24126968,TRAFF3
P09000226B9IPD,,1/4/2009 0:00,2343,,NE BLACKSTER LN / KALLGREN RD NE,122597490,25030487,WIRESU
P09000228B3IPD,,1/5/2009 0:00,0014,7666,NE HIGH SCHOOL RD,121751918,23731863,TRAFF3
P09000449B0IPD,,1/8/2009 0:00,2125,6112,NE OLD MILL RD,121982730,23027230,DV2
P09000033B3IPD,,1/1/2009 0:00,1431,,N MADISON AVE NE / NE VALLEY RD,122457917,24703521,GUNVI3
P09000028B9IPD,,1/1/2009 0:00,1234,7599,NE HIDDEN COVE RD,121810743,25669033,WC911
P09000026B3IPD,,1/1/2009 0:00,1147,,WEAVER AVE NW / WYATT WAY NW,122167956,23391345,TRAFF2
P09000465B3IPD,,1/9/2009 0:00,0744,9343,SPORTSMAN CLUB RD NE,122291992,24110820,T
P09000235B9IPD,,1/5/2009 0:00,0633,280,MADISON AVE N,122428721,23304765,ALRA
P09000268B5IPD,,1/5/2009 0:00,1659,625,WINSLOW WAY E,122603318,23237267,FI
P09000227B0IPD,,1/4/2009 0:00,2345,,FLETCHER BAY RD NE / NE HIGH SCHOOL RD,121498530,23670902,TRAFF3
P09000156B4IPD,,1/3/2009 0:00,2136,,HIGH SCHOOL RD NE / STATE HWY 305 NE,122571082,23644469,DUI3
P09000149B2IPD,,1/3/2009 0:00,1820,8808,MADISON AVE N,122442193,23911428,TRAFF3
