Dispatch Call ID Number,Dispatch Code,Call Description,Priority Level of Call,Call Disposition,Crime Incident Report Written,Crime Incident ID,Address Street,Address City,Address Zip,Geographic Coordinates,Police Division,Police Beat,Time of Call,Time of Dispatch,Time of Arrival,Date of Call,Source PDF File,Source Page
,,DPW Called Out,,Services Rendered- PD,No,,42 FRAMINGHAM RD,Marlborough,,,Marlborough PD,,17:15,,,04/30/2021,Call_Log_April_30_2021_to_May_3_2021.pdf,3
,,Eratic Operator,,Services Rendered- PD,No,,SOUTH ST,Marlborough,,,Marlborough PD,,17:47,,,04/30/2021,Call_Log_April_30_2021_to_May_3_2021.pdf,3
,,Well being check,,Services Rendered- PD,No,,85 DEAN RD,Marlborough,,,Marlborough PD,,18:08,,,04/30/2021,Call_Log_April_30_2021_to_May_3_2021.pdf,3
,,Ambulance Assist,,Services Rendered- PD,No,,38 BOSTON POST ROAD WEST,Marlborough,,,Marlborough PD,,18:27,,,04/30/2021,Call_Log_April_30_2021_to_May_3_2021.pdf,3
,,Medical,,Medical Assistance Rendered,No,,38 BOSTON POST ROAD WEST,Marlborough,,,Marlborough PD,,18:28,,,04/30/2021,Call_Log_April_30_2021_to_May_3_2021.pdf,3
,,Medical,,Medical Assistance Rendered,No,,32 WILSON ST,Marlborough,,,Marlborough PD,,19:10,,,04/30/2021,Call_Log_April_30_2021_to_May_3_2021.pdf,3
,,Ambulance Assist,,Services Rendered- PD,No,,32 WILSON ST,Marlborough,,,Marlborough PD,,19:11,,,04/30/2021,Call_Log_April_30_2021_to_May_3_2021.pdf,3
,,ASSAULT,,Report,Yes,,50 DONALD J. LYNCH BLVD,Marlborough,,,Marlborough PD,,19:32,,,04/30/2021,Call_Log_April_30_2021_to_May_3_2021.pdf,4
,,911 Hangup/Call,,Services Rendered- PD,No,,85 SAWIN ST,Marlborough,,,Marlborough PD,,19:36,,,04/30/2021,Call_Log_April_30_2021_to_May_3_2021.pdf,4
,,Medical,,Medical Assistance Rendered,No,,85 SAWIN ST,Marlborough,,,Marlborough PD,,19:36,,,04/30/2021,Call_Log_April_30_2021_to_May_3_2021.pdf,4
,,Wires Down,,Services Rendered- PD,No,,230 BROADMEADOW RD,Marlborough,,,Marlborough PD,,20:32,,,04/30/2021,Call_Log_April_30_2021_to_May_3_2021.pdf,4
,,"ALARM, BURGLAR",,Building Checked/Secured,No,,398 CEDAR HILL ST,Marlborough,,,Marlborough PD,,21:09,,,04/30/2021,Call_Log_April_30_2021_to_May_3_2021.pdf,4
,,Police Assist,,Services Rendered- PD,No,,6 WITHERBEE TER,Marlborough,,,Marlborough PD,,21:20,,,04/30/2021,Call_Log_April_30_2021_to_May_3_2021.pdf,4
,,SUSPICIOUS ACTIVITY,,Services Rendered- PD,No,,135 WILSON ST,Marlborough,,,Marlborough PD,,21:40,,,04/30/2021,Call_Log_April_30_2021_to_May_3_2021.pdf,4
,,Ambulance Only,,No Action Required,No,,[HUD] 253 WASHINGTON ST,Marlborough,,,Marlborough PD,,21:44,,,04/30/2021,Call_Log_April_30_2021_to_May_3_2021.pdf,4
,,MOTOR VEHICLE STOP,,Citation/Warning Issued,No,,100 LAKESIDE AVE,Marlborough,,,Marlborough PD,,22:16,,,04/30/2021,Call_Log_April_30_2021_to_May_3_2021.pdf,4
,,DISTURBANCE,,Report,Yes,,45 LIBERTY ST,Marlborough,,,Marlborough PD,,23:15,,,04/30/2021,Call_Log_April_30_2021_to_May_3_2021.pdf,4
,,DISTURBANCE,,Report,Yes,,512 SUDBURY ST,Marlborough,,,Marlborough PD,,23:17,,,04/30/2021,Call_Log_April_30_2021_to_May_3_2021.pdf,4
,,DISTURBANCE,,Services Rendered- PD,No,,22 RINGOLD ST,Marlborough,,,Marlborough PD,,23:41,,,04/30/2021,Call_Log_April_30_2021_to_May_3_2021.pdf,4
,,Medical,,Services Rendered- FD,No,,36 FONTAINE ST,Marlborough,,,Marlborough PD,,00:05,,,05/01/2021,Call_Log_April_30_2021_to_May_3_2021.pdf,4
,,Ambulance Assist,,Services Rendered- PD,No,,36 FONTAINE ST,Marlborough,,,Marlborough PD,,00:07,,,05/01/2021,Call_Log_April_30_2021_to_May_3_2021.pdf,4
,,911 Hangup/Call,,Services Rendered- PD,No,,15 FRYE ST,Marlborough,,,Marlborough PD,,00:07,,,05/01/2021,Call_Log_April_30_2021_to_May_3_2021.pdf,4
,,ASSIST CITIZEN,,Unfounded,No,,WALKER ST,Marlborough,,,Marlborough PD,,00:22,,,05/01/2021,Call_Log_April_30_2021_to_May_3_2021.pdf,4
,,MOTOR VEHICLE STOP,,Citation/Warning Issued,No,,410 LAKESIDE AVE,Marlborough,,,Marlborough PD,,01:15,,,05/01/2021,Call_Log_April_30_2021_to_May_3_2021.pdf,4
,,Medical,,Services Rendered- FD,No,,30 GAY ST Apt. #2,Marlborough,,,Marlborough PD,,01:44,,,05/01/2021,Call_Log_April_30_2021_to_May_3_2021.pdf,5
,,Ambulance Assist,,Services Rendered- PD,No,,30 GAY ST Apt. #2,Marlborough,,,Marlborough PD,,01:45,,,05/01/2021,Call_Log_April_30_2021_to_May_3_2021.pdf,5
,,DISTURBANCE,,Report,Yes,,22 RINGOLD ST,Marlborough,,,Marlborough PD,,02:20,,,05/01/2021,Call_Log_April_30_2021_to_May_3_2021.pdf,5
,,Medical,,Services Rendered- FD,No,,155 GREENWOOD ST,Marlborough,,,Marlborough PD,,04:28,,,05/01/2021,Call_Log_April_30_2021_to_May_3_2021.pdf,5
,,Well being check,,Services Rendered- PD,No,,397 BOLTON ST Apt. #A7,Marlborough,,,Marlborough PD,,04:38,,,05/01/2021,Call_Log_April_30_2021_to_May_3_2021.pdf,5
