Dispatch Call ID Number,Dispatch Code,Call Description,Priority Level of Call,Call Disposition,Crime Incident Report Written,Crime Incident ID,Address Street,Address City,Address Zip,Geographic Coordinates,Police Division,Police Beat,Time of Call,Time of Dispatch,Time of Arrival,Date of Call,Source PDF File,Source Page
,,Ambulance Assist,,Services Rendered- PD,No,,240 MAIN ST Apt. #312,Marlborough,,,Marlborough PD,,20:56,,,09/06/2022,Call_Log_September_6_2022_to_September_9_2022.pdf,3
,,MOTOR VEHICLE STOP,,Citation/Warning Issued,No,,52 CENTRAL ST,Marlborough,,,Marlborough PD,,22:26,,,09/06/2022,Call_Log_September_6_2022_to_September_9_2022.pdf,3
,,Suspicious M/V,,Services Rendered- PD,No,,CULLINANE DR,Marlborough,,,Marlborough PD,,22:46,,,09/06/2022,Call_Log_September_6_2022_to_September_9_2022.pdf,3
,,Well being check,,Services Rendered- PD,No,,547 BOSTON POST ROAD EAST Apt. #5,Marlborough,,,Marlborough PD,,02:06,,,09/07/2022,Call_Log_September_6_2022_to_September_9_2022.pdf,3
,,Medical,,Transported to Hospital,No,,99 PLEASANT ST Apt. #104,Marlborough,,,Marlborough PD,,05:36,,,09/07/2022,Call_Log_September_6_2022_to_September_9_2022.pdf,3
,,Directed Patrol,,Unfounded,No,,CHURCH ST,Marlborough,,,Marlborough PD,,06:52,,,09/07/2022,Call_Log_September_6_2022_to_September_9_2022.pdf,3
,,MOTOR VEHICLE STOP,,Citation/Warning Issued,No,,RT290 EASTBOUND @ RT495 S (62) RAMP TO SIM,Marlborough,,,Marlborough PD,,06:59,,,09/07/2022,Call_Log_September_6_2022_to_September_9_2022.pdf,3
,,Hazmat Incident,,Services Rendered- FD,No,,624 BOSTON POST ROAD EAST,Marlborough,,,Marlborough PD,,06:59,,,09/07/2022,Call_Log_September_6_2022_to_September_9_2022.pdf,3
,,"Fire, Detail",,Services Rendered- FD,No,,300 BOSTON SCIENTIFIC WAY,Marlborough,,,Marlborough PD,,07:12,,,09/07/2022,Call_Log_September_6_2022_to_September_9_2022.pdf,3
,,Private Tow,,Private tow,No,,624 BOSTON POST ROAD EAST,Marlborough,,,Marlborough PD,,07:27,,,09/07/2022,Call_Log_September_6_2022_to_September_9_2022.pdf,3
,,MOTOR VEHICLE STOP,,Citation/Warning Issued,No,,HARVARD ST,Marlborough,,,Marlborough PD,,07:41,,,09/07/2022,Call_Log_September_6_2022_to_September_9_2022.pdf,3
,,Medical,,Medical Assistance Rendered,No,,32 ANDERSON RD,Marlborough,,,Marlborough PD,,08:16,,,09/07/2022,Call_Log_September_6_2022_to_September_9_2022.pdf,3
,,Well being check,,Services Rendered- PD,No,,208 MAIN ST @ 10 NEWTON ST,Marlborough,,,Marlborough PD,,08:21,,,09/07/2022,Call_Log_September_6_2022_to_September_9_2022.pdf,3
,,Medical,,Services Rendered- FD,No,,208 MAIN ST @ 10 NEWTON ST,Marlborough,,,Marlborough PD,,08:21,,,09/07/2022,Call_Log_September_6_2022_to_September_9_2022.pdf,3
,,Motor vehicle accident I,,Medical Assistance Rendered,No,,52 HILDRETH ST @ 116 CHURCH ST,Marlborough,,,Marlborough PD,,08:45,,,09/07/2022,Call_Log_September_6_2022_to_September_9_2022.pdf,4
,,MVA WITH INJURIES,,Report,Yes,,52 HILDRETH ST @ 116 CHURCH ST,Marlborough,,,Marlborough PD,,08:46,,,09/07/2022,Call_Log_September_6_2022_to_September_9_2022.pdf,4
,,MVA PROPERTY DAMAGE ONLY,,Report,Yes,,168 PLEASANT ST,Marlborough,,,Marlborough PD,,08:57,,,09/07/2022,Call_Log_September_6_2022_to_September_9_2022.pdf,4
,,TRAFFIC CONTROL,,Services Rendered- PD,No,,444 HOSMER ST,Marlborough,,,Marlborough PD,,08:58,,,09/07/2022,Call_Log_September_6_2022_to_September_9_2022.pdf,4
,,Medical,,Medical Assistance Rendered,No,,99 PLEASANT ST Apt. #208,Marlborough,,,Marlborough PD,,09:12,,,09/07/2022,Call_Log_September_6_2022_to_September_9_2022.pdf,4
,,Medical,,Medical Assistance Rendered,No,,431 BOLTON ST Apt. #372A,Marlborough,,,Marlborough PD,,09:24,,,09/07/2022,Call_Log_September_6_2022_to_September_9_2022.pdf,4
,,Suspicious M/V,,Services Rendered- PD,No,,45 HILDRETH ST @ 4 COREY RD,Marlborough,,,Marlborough PD,,10:53,,,09/07/2022,Call_Log_September_6_2022_to_September_9_2022.pdf,4
,,Medical,,Medical Assistance Rendered,No,,121 NORTHBORO ROAD EAST Apt. #308,Marlborough,,,Marlborough PD,,11:07,,,09/07/2022,Call_Log_September_6_2022_to_September_9_2022.pdf,4
,,SUSPICIOUS ACTIVITY,,Services Rendered- PD,No,,32 HILDRETH ST,Marlborough,,,Marlborough PD,,11:23,,,09/07/2022,Call_Log_September_6_2022_to_September_9_2022.pdf,4
,,Medical,,Medical Assistance Rendered,No,,246 MAPLE ST Apt. #3,Marlborough,,,Marlborough PD,,11:26,,,09/07/2022,Call_Log_September_6_2022_to_September_9_2022.pdf,4
,,DISTURBANCE,,Report,Yes,,81 GRANGER BLVD,Marlborough,,,Marlborough PD,,11:50,,,09/07/2022,Call_Log_September_6_2022_to_September_9_2022.pdf,4
,,Medical,,Medical Assistance Rendered,No,,26 SIDNEY ST,Marlborough,,,Marlborough PD,,12:05,,,09/07/2022,Call_Log_September_6_2022_to_September_9_2022.pdf,4
,,Directed Patrol,,Services Rendered- PD,No,,CHURCH ST,Marlborough,,,Marlborough PD,,12:09,,,09/07/2022,Call_Log_September_6_2022_to_September_9_2022.pdf,4
,,Harassment,,Report,Yes,,197 CHESTNUT ST,Marlborough,,,Marlborough PD,,12:36,,,09/07/2022,Call_Log_September_6_2022_to_September_9_2022.pdf,4
,,ASSIST CITIZEN,,Services Rendered- PD,No,,151 SHERWOOD DRIVE SOUTH,Marlborough,,,Marlborough PD,,12:40,,,09/07/2022,Call_Log_September_6_2022_to_September_9_2022.pdf,4
,,Police Assist,,Services Rendered- PD,No,,81 MCNEIL CIR,Marlborough,,,Marlborough PD,,12:56,,,09/07/2022,Call_Log_September_6_2022_to_September_9_2022.pdf,4
,,"ALARM, BURGLAR",,Building Checked/Secured,No,,350 CAMPUS DR,Marlborough,,,Marlborough PD,,13:00,,,09/07/2022,Call_Log_September_6_2022_to_September_9_2022.pdf,4
,,Well being check,,Report,Yes,,32 CROSS ST,Marlborough,,,Marlborough PD,,13:10,,,09/07/2022,Call_Log_September_6_2022_to_September_9_2022.pdf,4
,,Medical,,Medical Assistance Rendered,No,,99 PLEASANT ST Apt. #309,Marlborough,,,Marlborough PD,,13:22,,,09/07/2022,Call_Log_September_6_2022_to_September_9_2022.pdf,4
,,Ambulance Only,,Services Rendered- FD,No,,[HUD] 11 LAKE ST Apt. #325,Marlborough,,,Marlborough PD,,13:51,,,09/07/2022,Call_Log_September_6_2022_to_September_9_2022.pdf,5
,,MOTOR VEHICLE STOP,,Citation/Warning Issued,No,,123 WEST MAIN ST @ 5 PLEASANT ST,Marlborough,,,Marlborough PD,,14:03,,,09/07/2022,Call_Log_September_6_2022_to_September_9_2022.pdf,5
,,Police Assist,,Services Rendered- PD,No,,109A BROADMEADOW RD Apt. #1,Marlborough,,,Marlborough PD,,14:18,,,09/07/2022,Call_Log_September_6_2022_to_September_9_2022.pdf,5
,,Medical,,Medical Assistance Rendered,No,,20 ROUNDTOP RD,Marlborough,,,Marlborough PD,,14:19,,,09/07/2022,Call_Log_September_6_2022_to_September_9_2022.pdf,5
,,Parking Violation,,Citation/Warning Issued,No,,177 MECHANIC ST,Marlborough,,,Marlborough PD,,14:26,,,09/07/2022,Call_Log_September_6_2022_to_September_9_2022.pdf,5
,,Private Tow,,Private tow,No,,275 WEST MAIN ST,Marlborough,,,Marlborough PD,,14:45,,,09/07/2022,Call_Log_September_6_2022_to_September_9_2022.pdf,5
,,Well being check,,Arrest(s) Made,Yes,22-311-AR,22 WILSON ST,Marlborough,,,Marlborough PD,,14:49,,,09/07/2022,Call_Log_September_6_2022_to_September_9_2022.pdf,5
,,Parking Violation,,Citation/Warning Issued,No,,68 PROSPECT ST,Marlborough,,,Marlborough PD,,14:53,,,09/07/2022,Call_Log_September_6_2022_to_September_9_2022.pdf,5
,,SUSPICIOUS ACTIVITY,,Unfounded,No,,853 DONALD J. LYNCH BLVD,Marlborough,,,Marlborough PD,,15:06,,,09/07/2022,Call_Log_September_6_2022_to_September_9_2022.pdf,5
,,MVA PROPERTY DAMAGE ONLY,,Citation/Warning Issued,No,,413 LAKESIDE AVE @ RT495 SOUTH,Marlborough,,,Marlborough PD,,15:49,,,09/07/2022,Call_Log_September_6_2022_to_September_9_2022.pdf,5
,,Medical,,Medical Assistance Rendered,No,,32 ANDERSON RD,Marlborough,,,Marlborough PD,,15:54,,,09/07/2022,Call_Log_September_6_2022_to_September_9_2022.pdf,5
,,Police Assist,,Services Rendered- PD,No,,177 MECHANIC ST,Marlborough,,,Marlborough PD,,16:03,,,09/07/2022,Call_Log_September_6_2022_to_September_9_2022.pdf,5
,,Motor vehicle accident I,,No Action Required,No,,22 WILSON ST,Marlborough,,,Marlborough PD,,16:06,,,09/07/2022,Call_Log_September_6_2022_to_September_9_2022.pdf,5
,,MVA WITH INJURIES,,Report,Yes,,22 WILSON ST,Marlborough,,,Marlborough PD,,16:07,,,09/07/2022,Call_Log_September_6_2022_to_September_9_2022.pdf,5
,,MVA PROPERTY DAMAGE ONLY,,Report,Yes,,681 BOSTON POST ROAD EAST,Marlborough,,,Marlborough PD,,16:38,,,09/07/2022,Call_Log_September_6_2022_to_September_9_2022.pdf,5
,,DPW Called Out,,Services Rendered- PD,No,,3 FARMHOUSE LN,Marlborough,,,Marlborough PD,,16:41,,,09/07/2022,Call_Log_September_6_2022_to_September_9_2022.pdf,5
,,Medical,,Medical Assistance Rendered,No,,85 SILVER LEAF WAY Apt. #21,Marlborough,,,Marlborough PD,,16:43,,,09/07/2022,Call_Log_September_6_2022_to_September_9_2022.pdf,5
,,Ambulance Assist,,Services Rendered- PD,No,,85 SILVER LEAF WAY Apt. #21,Marlborough,,,Marlborough PD,,16:44,,,09/07/2022,Call_Log_September_6_2022_to_September_9_2022.pdf,6
,,Directed Patrol,,Services Rendered- PD,No,,CHURCH ST,Marlborough,,,Marlborough PD,,16:57,,,09/07/2022,Call_Log_September_6_2022_to_September_9_2022.pdf,6
,,Well being check,,Report,Yes,,184 BOUNDARY ST,Marlborough,,,Marlborough PD,,17:28,,,09/07/2022,Call_Log_September_6_2022_to_September_9_2022.pdf,6
,,SUSPICIOUS ACTIVITY,,Services Rendered- PD,No,,199 MAIN ST,Marlborough,,,Marlborough PD,,17:45,,,09/07/2022,Call_Log_September_6_2022_to_September_9_2022.pdf,6
,,SUSPICIOUS ACTIVITY,,Services Rendered- PD,No,,3 FARMHOUSE LN,Marlborough,,,Marlborough PD,,18:16,,,09/07/2022,Call_Log_September_6_2022_to_September_9_2022.pdf,6
,,ASSIST OTHER AGENCY,,Services Rendered- PD,No,,624 BOSTON POST ROAD EAST,Marlborough,,,Marlborough PD,,18:17,,,09/07/2022,Call_Log_September_6_2022_to_September_9_2022.pdf,6
,,Well being check,,Report,Yes,,358 BERLIN RD,Marlborough,,,Marlborough PD,,18:46,,,09/07/2022,Call_Log_September_6_2022_to_September_9_2022.pdf,6
,,Well being check,,Services Rendered- PD,No,,75 SOUTH BOLTON ST,Marlborough,,,Marlborough PD,,19:16,,,09/07/2022,Call_Log_September_6_2022_to_September_9_2022.pdf,6
