Dispatch Call ID Number,Dispatch Code,Call Description,Priority Level of Call,Call Disposition,Crime Incident Report Written,Crime Incident ID,Address Street,Address City,Address Zip,Geographic Coordinates,Police Division,Police Beat,Time of Call,Time of Dispatch,Time of Arrival,Date of Call,Source PDF File,Source Page
,,TRAFFIC CONTROL,,Services Rendered- PD,No,,444 HOSMER ST,Marlborough,,,Marlborough PD,,15:32,,,10/31/2022,Call_Log_October_31_2022_to_November_4_2022.pdf,3
,,Medical,,Medical Assistance Rendered,No,,512 SUDBURY ST,Marlborough,,,Marlborough PD,,16:06,,,10/31/2022,Call_Log_October_31_2022_to_November_4_2022.pdf,3
,,Ambulance Assist,,Services Rendered- PD,No,,512 SUDBURY ST,Marlborough,,,Marlborough PD,,16:08,,,10/31/2022,Call_Log_October_31_2022_to_November_4_2022.pdf,3
,,B&E into M/V,,Report,Yes,,34 ROYAL CREST DR,Marlborough,,,Marlborough PD,,16:26,,,10/31/2022,Call_Log_October_31_2022_to_November_4_2022.pdf,3
,,"ALARM, BURGLAR",,Building Checked/Secured,No,,256 MAPLE ST,Marlborough,,,Marlborough PD,,16:29,,,10/31/2022,Call_Log_October_31_2022_to_November_4_2022.pdf,3
,,MOTOR VEHICLE STOP,,Citation/Warning Issued,No,,50 COTTING AVE @ 1 MAPLE TER,Marlborough,,,Marlborough PD,,17:56,,,10/31/2022,Call_Log_October_31_2022_to_November_4_2022.pdf,3
,,ASSIST CITIZEN,,Services Rendered- PD,No,,57 ORCHARD ST,Marlborough,,,Marlborough PD,,19:12,,,10/31/2022,Call_Log_October_31_2022_to_November_4_2022.pdf,4
,,Threats,,Report,Yes,,27 MILDON AVE,Marlborough,,,Marlborough PD,,19:28,,,10/31/2022,Call_Log_October_31_2022_to_November_4_2022.pdf,4
,,Ambulance Only,,Medical Assistance Rendered,No,,27 MILDON AVE,Marlborough,,,Marlborough PD,,20:09,,,10/31/2022,Call_Log_October_31_2022_to_November_4_2022.pdf,4
,,Medical,,Medical Assistance Rendered,No,,99 PLEASANT ST Apt. #105,Marlborough,,,Marlborough PD,,20:58,,,10/31/2022,Call_Log_October_31_2022_to_November_4_2022.pdf,4
