Dispatch Call ID Number,Dispatch Code,Call Description,Priority Level of Call,Call Disposition,Crime Incident Report Written,Crime Incident ID,Address Street,Address City,Address Zip,Geographic Coordinates,Police Division,Police Beat,Time of Call,Time of Dispatch,Time of Arrival,Date of Call,Source PDF File,Source Page
,,Ambulance Assist,,Services Rendered- PD,No,,90 MAPLE ST,Marlborough,,,Marlborough PD,,11:40,,,06/29/2021,Call_Log_June_28_2021_to_July_2_2021.pdf,5
,,Medical,,Medical Assistance Rendered,No,,90 MAPLE ST,Marlborough,,,Marlborough PD,,11:40,,,06/29/2021,Call_Log_June_28_2021_to_July_2_2021.pdf,6
,,SERVE SUMMONS,,Services Rendered- PD,No,,19 BROAD ST Apt. #6,Marlborough,,,Marlborough PD,,12:22,,,06/29/2021,Call_Log_June_28_2021_to_July_2_2021.pdf,6
,,SERVE SUMMONS,,Services Rendered- PD,No,,184 MECHANIC ST Apt. #5,Marlborough,,,Marlborough PD,,12:33,,,06/29/2021,Call_Log_June_28_2021_to_July_2_2021.pdf,6
,,LARCENY,,Services Rendered- PD,No,,80 WILLIAMS ST,Marlborough,,,Marlborough PD,,12:38,,,06/29/2021,Call_Log_June_28_2021_to_July_2_2021.pdf,6
,,Harassment,,Report,Yes,,13B LINCOLN CT,Marlborough,,,Marlborough PD,,12:38,,,06/29/2021,Call_Log_June_28_2021_to_July_2_2021.pdf,6
,,MVA PROPERTY DAMAGE ONLY,,Report,Yes,,377 SIMARANO DR,Marlborough,,,Marlborough PD,,12:56,,,06/29/2021,Call_Log_June_28_2021_to_July_2_2021.pdf,6
,,DISABLED MV,,Services Rendered- PD,No,,32 BOSTON POST ROAD WEST,Marlborough,,,Marlborough PD,,13:06,,,06/29/2021,Call_Log_June_28_2021_to_July_2_2021.pdf,6
,,Animal Complaint,,Services Rendered- PD,No,,164 CHESTNUT ST,Marlborough,,,Marlborough PD,,13:10,,,06/29/2021,Call_Log_June_28_2021_to_July_2_2021.pdf,6
,,Well being check,,Services Rendered- PD,No,,240 EAST MAIN ST,Marlborough,,,Marlborough PD,,13:12,,,06/29/2021,Call_Log_June_28_2021_to_July_2_2021.pdf,6
,,Medical,,Medical Assistance Rendered,No,,240 EAST MAIN ST,Marlborough,,,Marlborough PD,,13:21,,,06/29/2021,Call_Log_June_28_2021_to_July_2_2021.pdf,6
